objid,ra,dec,u,g,r,i,z,redshift
1237646587175961245,87.0919874362188,0.366035417094044,18.49379,20.04382,17.27078,18.78956,18.6592,2.056964
1237646587176026233,87.1160262016513,0.351013950822523,22.40658,20.20343,18.76004,18.11971,17.59302,5.080162E-05
1237646587176026267,87.1718013711976,0.292348148225235,23.10616,21.46567,24.80217,20.05227,22.82707,-2.330249E-05
1237646587176026379,87.1209636041116,0.42027781823007,23.68884,21.69785,19.9034,18.87235,18.23465,0.0001504575
1237646587176026398,87.1449569462733,0.264512437284232,22.93321,20.88148,19.15933,18.02238,17.14975,0.7064357
1237646587176026412,87.1978309306702,0.325872316869457,23.80852,20.95464,19.1687,18.13738,17.37539,0.0003952611
1237646587176026470,87.1765377512996,0.235510805745862,23.63289,21.75404,19.32992,17.82576,16.6362,0.0001770205
1237646587176026552,87.1402333204545,0.275063944046492,24.48712,22.68098,20.41598,19.07099,18.11193,0.6590379
1237646587176026552,87.1402333204545,0.275063944046492,24.48712,22.68098,20.41598,19.07099,18.11193,-0.00471335
1237646587176026554,87.1415637956395,0.370467498199,24.94173,21.38393,20.04407,19.24106,18.86301,0.0002137126
1237646587176026634,87.2004827190415,0.325314087122165,23.75531,21.95995,20.06932,19.01004,18.28101,0.1382918
1237646587176026634,87.2004827190415,0.325314087122165,23.75531,21.95995,20.06932,19.01004,18.28101,3.978396E-05
1237646587176026652,87.2078408620182,0.410651148537566,24.18223,23.18527,20.65709,19.28918,18.33338,3.886287E-05
1237646587176091667,87.2884911831561,0.390791209050633,24.22172,21.72715,20.39861,19.68202,19.1468,4.532774E-05
1237648702972559475,197.271117338021,-1.07775735374465,19.92257,17.50761,16.50246,16.14782,15.97068,4.78414E-05
1237648702972559488,197.296437277593,-1.10476954367019,19.69755,18.76486,18.54573,18.45261,18.45708,4.300224E-05
1237648702972559488,197.296437277593,-1.10476954367019,19.69755,18.76486,18.54573,18.45261,18.45708,0.0001050892
1237648702972559513,197.330573184007,-1.15163989181103,20.40052,18.51476,17.59424,17.17856,16.84675,0.08112979
1237648702972559538,197.353195300351,-1.06589787882115,18.3989,17.61149,17.3524,17.08966,17.05099,0.0751425
1237648702972559538,197.353195300351,-1.06589787882115,18.3989,17.61149,17.3524,17.08966,17.05099,0.07514119
1237648702972559541,197.364708255243,-1.0614156163802,18.26448,16.6562,15.8313,15.35966,15.03571,0.07483354
1237648702972559556,197.378002001718,-1.09232706743552,20.65808,18.28288,17.04025,16.60876,16.24958,0.1786865
1237648702972559600,197.30968444616,-1.15496730281985,19.78224,18.35583,17.66836,17.2903,17.06373,0.08158669
1237648702972559679,197.294473598786,-1.13796516684967,21.72797,21.35609,21.16358,21.25684,21.05686,0.000456731
1237648702972559679,197.294473598786,-1.13796516684967,21.72797,21.35609,21.16358,21.25684,21.05686,-3.937001E-05
1237648702972624921,197.423727550765,-1.25174728675471,15.96412,15.86999,16.22021,16.49445,16.7557,5.2776E-05
1237648702972624921,197.423727550765,-1.25174728675471,15.96412,15.86999,16.22021,16.49445,16.7557,5.949514E-05
1237648702972624921,197.423727550765,-1.25174728675471,15.96412,15.86999,16.22021,16.49445,16.7557,6.32985E-05
1237648702972624983,197.477085927472,-1.2276376861873,18.08446,16.73622,16.19589,15.99809,15.89384,0.0002991299
1237648702972624983,197.477085927472,-1.2276376861873,18.08446,16.73622,16.19589,15.99809,15.89384,0.0002964402
1237648702972625038,197.421173999056,-1.04825957679716,17.40012,15.9258,15.17839,14.82591,14.52854,0.02443011
1237648702972625053,197.417302394968,-1.05154401492896,18.61583,20.2118,19.48487,19.12701,19.02963,0.02393271
1237648702972625094,197.466339492341,-1.24685248049936,19.70761,18.22243,17.63529,17.42161,17.30422,-0.0001104082
1237648702972625094,197.466339492341,-1.24685248049936,19.70761,18.22243,17.63529,17.42161,17.30422,-0.0001319814
1237648702972625102,197.49460278602,-1.19118410981554,21.17408,19.84596,19.64344,19.63906,19.53621,2.960174
1237648702972625102,197.49460278602,-1.19118410981554,21.17408,19.84596,19.64344,19.63906,19.53621,2.961194
1237648702972625117,197.395857217243,-1.16375840701962,19.6236,18.15878,17.41264,17.02593,16.73645,0.08564827
1237648702972625117,197.395857217243,-1.16375840701962,19.6236,18.15878,17.41264,17.02593,16.73645,0.08555816
1237648702972625185,197.398389200015,-1.06539894326362,20.27305,20.19496,20.5161,20.961,20.9895,-0.0003025078
1237648702972625295,197.40748593237,-1.16422973425027,24.7927,21.81846,20.81453,20.71202,20.54263,3.602047
1237648702972625309,197.414055081771,-1.19543273868813,23.83618,21.89131,19.97871,19.16441,18.81156,0.4615054
1237648702972690446,197.546207592385,-1.04695869131407,18.95832,18.0447,17.77005,17.67359,17.74159,0.0004034816
1237648702972690446,197.546207592385,-1.04695869131407,18.95832,18.0447,17.77005,17.67359,17.74159,0.0004923012
1237648702972690499,197.595438053074,-1.13654069125832,17.33787,16.3675,16.08342,15.96498,15.93136,3.701486E-05
1237648702972690499,197.595438053074,-1.13654069125832,17.33787,16.3675,16.08342,15.96498,15.93136,2.043099E-05
1237648702972690514,197.613384575061,-1.23545929611195,17.55398,16.31082,15.82231,15.63342,15.53234,0.0002137953
1237648702972690514,197.613384575061,-1.23545929611195,17.55398,16.31082,15.82231,15.63342,15.53234,0.0001888133
1237648702972690519,197.622276478459,-1.1201273279603,16.26088,15.3302,14.90375,14.7409,14.69645,0.0005181173
1237648702972690527,197.637499026771,-1.21425673241709,19.47885,17.58269,16.7556,16.35475,16.10601,0.0845182
1237648702972690527,197.637499026771,-1.21425673241709,19.47885,17.58269,16.7556,16.35475,16.10601,0.08455453
1237648702972690541,197.654572910749,-1.16293226803117,18.42792,17.16193,16.68961,16.53239,16.4568,5.843702E-06
